cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
1863,,1863,UNILEVER OMO DESINFETANTE POWER BAC OUTROS AROMAS PANO/LENCO 36 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1864,,1864,LEVER OMO DESINFETANTE POWER BAC PINHO/PINHO SILVESTRE GARRAFA 1000 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1865,,1865,LEVER OMO DESINFETANTE POWER BAC PINHO/PINHO SILVESTRE GARRAFA 1750 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1866,,1866,ILEVER OMO DESINFETANTE POWER BAC PINHO/PINHO SILVESTRE GARRAFA 500 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1867,,1867,UNILEVER OMO DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 450 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1868,,1868,UNILEVER OMO DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 450 PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1869,,1869,UNILEVER OMO DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 900 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1870,,1870,UNILEVER OMO DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 900 PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1871,,1871,UNILEVER OMO DESINFETANTE SEM VERSAO OUTROS AROMAS SACHET 900 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1872,,1872,IL QUIMICA ACONCHEGO DESINFETANTE SEM VERSAO EUCALIPTO GARRAFA 2000 NAO PROMOCAO,,,,,,,,ACONCHEGO,,,,,,,,,,,,,,,,,,,,
1873,,1873,UIMICA ACONCHEGO DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 2000 NAO PROMOCAO,,,,,,,,ACONCHEGO,,,,,,,,,,,,,,,,,,,,
1874,,1874,L QUIMICA PINHO BEST DESINFETANTE SEM VERSAO EUCALIPTO GARRAFA 2000 NAO PROMOCAO,,,,,,,,PINHO BEST,,,,,,,,,,,,,,,,,,,,
1875,,1875,IMICA PINHO BEST DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 2000 NAO PROMOCAO,,,,,,,,PINHO BEST,,,,,,,,,,,,,,,,,,,,
1876,,1876,NHO BEST DESINFETANTE SEM VERSAO PINHO/PINHO SILVESTRE GARRAFA 2000 NAO PROMOCAO,,,,,,,,PINHO BEST,,,,,,,,,,,,,,,,,,,,
1877,,1877,L QUIMICA SUPER UTIL DESINFETANTE SEM VERSAO EUCALIPTO GARRAFA 2000 NAO PROMOCAO,,,,,,,,SUPER UTIL,,,,,,,,,,,,,,,,,,,,
