ean,nome_produto,sub_segmento
7898633060835,SUED COSMETICOS CREME CAPILAR LEAVE IN SENSATIONAL CURL 240 ML x 1,
7898633060781,SUED COSMETICOS CREME LEAVE IN HIDRA NUTRY 240 ML x 1,
7898633060828,SUED COSMETICOS CREME LEAVE IN PEELING PURIFIC 240 ML x 1,
7898633060798,SUED COSMETICOS CREME LEAVE-IN LUXE OIL 240 ML x 1,
7898633060811,SUED COSMETICOS CREME LEAVE-IN MY VEGAN 240 ML x 1,
7898633060842,SUED COSMETICOS MASCARA CAPILAR CRISTAL LISS 300 G x 1,
7898633060859,SUED COSMETICOS MASCARA CAPILAR DOUBLE PURPLE 300 G x 1,
7898633060866,SUED COSMETICOS MASCARA CAPILAR FORCE HAIR CAPILI 300 G x 1,
7898633060873,SUED COSMETICOS MASCARA CAPILAR HIDRA NUTRY 300 G x 1,
7898633060880,SUED COSMETICOS MASCARA CAPILAR LUXE OIL 300 G x 1,
7898633060903,SUED COSMETICOS MASCARA CAPILAR MY VEGAN 300 G x 1,
7898633060910,SUED COSMETICOS MASCARA CAPILAR PEELING PURIFIC 300 G x 1,
7898633060927,SUED COSMETICOS MASCARA CAPILAR SENSATIONAL CURL 300 G x 1,
7898633060538,SUED COSMETICOS SHAMPOO CRISTAL LISS 300 ML x 1,
7898633060545,SUED COSMETICOS SHAMPOO DOUBLE PURPLE 300 ML x 1,
7898633060552,SUED COSMETICOS SHAMPOO FORCE HAIR CAPILI 300 ML x 1,
7898633060569,SUED COSMETICOS SHAMPOO HIDRA NUTRY 300 ML x 1,
7898633060576,SUED COSMETICOS SHAMPOO LUXE OIL 300 ML x 1,
7898633060590,SUED COSMETICOS SHAMPOO MY VEGAN 300 ML x 1,
7898633060606,SUED COSMETICOS SHAMPOO PEELING PURIFIC 300 ML x 1,
7898633060613,SUED COSMETICOS SHAMPOO SENSATIONAL CURL 300 ML x 1,
7898633060729,SUED COSMETICOS SPRAY CAPILAR FINISH PROTECT HIDRA NUTRY 200 ML x 1,
7898633060743,SUED COSMETICOS SPRAY CAPILAR FINISH SHINE CRISTAL LISS 200 ML x 1,
7898633060712,SUED COSMETICOS SPRAY CAPILAR SENSATIONAL CURL FINISH DEFINITION 200 ML x 1,
7898455711472,SUES COSMETICOS AMPOLA CAPILAR 10 ERVAS 10 ML x 1,
7898455710796,SUES COSMETICOS AMPOLA CAPILAR ALHO 10 ML x 1,
7898455711113,SUES COSMETICOS AMPOLA CAPILAR MIX DE OLEOS 10 ML x 1,
7898455711106,SUES COSMETICOS AMPOLA CAPILAR RICINO 10 ML x 1,
7898455710017,SUES COSMETICOS AMPOLA CAPILAR VITAMINA A 10 ML x 1,
7898455710055,SUES COSMETICOS AMPOLA CAPILAR VITAMINA A E B5 10 ML x 1,
7898688010137,SUGAR CERA GEL CAPILAR WAX ULTRA FIXACAO 300 G x 1,
7898965137038,SUGAR GEL COLA FIXACAO EXTRA FORTE 300 G x 1,
7898688010120,SUGAR GEL COLA FIXACAO EXTRA FORTE BLACK 300 G x 1,
7898965137304,SUGAR POMADA CAPILAR FINALIZADO EFEITO MATTE 70 G x 1,
7896017701107,SUISSA LOCAO CAPILAR MASCULINA CAMELIA DO BRASIL 100 ML x 1,
7896235321538,SUMMER GEL FIXADOR EXTRA FORTE FATOR 3 220 G x 1,
7896235353065,SUMMER GEL FIXADOR FORTE FATOR 2 ROSA 220 G x 1,
7896235353072,SUMMER GEL FIXADOR MEDIA FATOR 1 500 G x 1,
7898570771481,SUN MARINE CREME CAPILAR DD. 15 EM 1 200 ML x 1,
2500000048197,SUPER BILLION HAIR PO DISFARCE DE CALVICIE BRANCO 8 G x 1,
2500000048470,SUPER BILLION HAIR PO DISFARCE DE CALVICIE CASTANHO CLARO 25 G x 1,
2500000048500,SUPER BILLION HAIR PO DISFARCE DE CALVICIE CASTANHO CLARO 8 G x 1,
6942644307357,SUPER BILLION HAIR PO DISFARCE DE CALVICIE CASTANHO ESCURO 25 G x 1,
6942644307364,SUPER BILLION HAIR PO DISFARCE DE CALVICIE CASTANHO MEDIO 25 G x 1,
