cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
7896098909867,,7896098909867,"LAVA ROUPA TIXAN 2,4KG SC CONC MACIEZ",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909829,,7896098909829,"LAVA ROUPA TIXAN 1,3KG SC PRIMAVERA",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909805,,7896098909805,LAVA ROUPA TIXAN 800G SC PRIMAVERA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909874,,7896098909874,LAVA ROUPA TIXAN 4KG SC CONC PRIMAVEIRA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098902721,,7896098902721,LAVA ROUPA TIXAN 4KG SC HIPOALERG S/PERF,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909928,,7896098909928,LAVA ROUPA TIXAN L4KG P3.6KG SC PRIMAV,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150086777,,7891150086777,LAVA ROUPA SURF 800G ROSAS FLOR DE LIS,,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150086821,,7891150086821,"LAVA ROUPA SURF 1,6KG CUIDADO COCO",,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150086807,,7891150086807,LAVA ROUPA SURF 800G LIMAO BICARBONATO,,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150086791,,7891150086791,LAVA ROUPA SURF 800G CUIDADO COCO,,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150086814,,7891150086814,"LAVA ROUPA SURF 1,6KG ROSAS FLOR DE LIS",,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150086784,,7891150086784,LAVA ROUPA SURF 800G LAVANDA,,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150086531,,7891150086531,"LAVA ROUPA BRILHANTE 2,2KG LIMP TOTAL",,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
7891150086517,,7891150086517,"LAVA ROUPA BRILHANTE 1,6KG DELICAD TOTAL",,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
7891150069053,,7891150069053,LAVA ROUPA OMO 4KG LAVAGEM PERFEITA,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7891150086463,,7891150086463,"LAVA ROUPA BRILHANTE 1,6KG CUIDADO TOTAL",,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
7891150086449,,7891150086449,LAVA ROUPA BRILHANTE 1.6KG BLINDAGEM COR,,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
7898948339855,,7898948339855,TIRA MANCHAS ARES PO 450G PREMIUM,,,,,,,,ARES,,,,,,,,,,,,,,,,,,,,
7898948339916,,7898948339916,LAVA ROUPAS ARES 5KG LAVANDA,,,,,,,,ARES,,,,,,,,,,,,,,,,,,,,
7896098903988,,7896098903988,LAVA ROUPA TIXAN 800G SC CONC ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098903995,,7896098903995,LAVA ROUPA TIXAN 1.6KG SC CONC ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150086425,,7891150086425,LAVA ROUPA BILHANTE 1.6KG SC GTS 150G,,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
7891150086555,,7891150086555,LAVA ROUPA BRILHANTE 1.6KG LIMPEZA TOTAL,,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
7896098905999,,7896098905999,SABAO BARRA YPE 180G COCO/AVEIA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098905982,,7896098905982,SABAO BARRA YPE 900G COCO/AVEIA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896056407091,,7896056407091,SABAO BARRA UFE 450G COCO ARTESANAL,,,,,,,,UFE,,,,,,,,,,,,,,,,,,,,
7896056407084,,7896056407084,SABAO BARRA UFE 900G COCO ARTESANAL,,,,,,,,UFE,,,,,,,,,,,,,,,,,,,,
7896098905913,,7896098905913,SABAO BARRA YPE 180G ORIGINAL,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098905906,,7896098905906,SABAO BARRA YPE 900G ORIGINAL,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098906002,,7896098906002,SABAO BARRA YPE 180G FRESH,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098906019,,7896098906019,SABAO BARRA YPE 180G ALOE VERA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098905937,,7896098905937,SABAO BARRA YPE 900G MULTIATIVO,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098905968,,7896098905968,SABAO BARRA YPE 900G ALOE VERA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7898475630807,,7898475630807,PANO MICROFRIBRA UNI C/4 SORTIDOS,,,,,,,,UNILAR,,,,,,,,,,,,,,,,,,,,
7896001019119,,7896001019119,MOP BETTANIN NOVICA RF,,,,,,,,NOVICA,,,,,,,,,,,,,,,,,,,,
7896450944307,,7896450944307,SACO LIXO TUPI BAN R-2,,,,,,,,TUPI,,,,,,,,,,,,,,,,,,,,
7896001019720,,7896001019720,VARREDOR PISO NOVICA,,,,,,,,NOVICA,,,,,,,,,,,,,,,,,,,,
7898462400239,,7898462400239,DESINF BARBAREX 5L BACTERIC FLORAL,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449499000,,7899449499000,DESINF BARBAREX 5L BACTERIC FLORES CAMPO,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449499024,,7899449499024,DESINF BARBAREX 5L BACTERIC SENSACOES,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
